id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pendidikan,satuan,tahun
162,32,JAWA BARAT,3203,KABUPATEN CIANJUR,55.03,POIN,2016
163,32,JAWA BARAT,3204,KABUPATEN BANDUNG,62.83,POIN,2016
164,32,JAWA BARAT,3205,KABUPATEN GARUT,55.41,POIN,2016
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57.74,POIN,2016
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,63.08,POIN,2016
167,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,57.91,POIN,2016
168,32,JAWA BARAT,3209,KABUPATEN CIREBON,54.78,POIN,2016
169,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,55.99,POIN,2016
170,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61.59,POIN,2016
171,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,52.42,POIN,2016
172,32,JAWA BARAT,3213,KABUPATEN SUBANG,54.32,POIN,2016
173,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,57.57,POIN,2016
174,32,JAWA BARAT,3215,KABUPATEN KARAWANG,56.05,POIN,2016
175,32,JAWA BARAT,3216,KABUPATEN BEKASI,63.34,POIN,2016
176,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,57.54,POIN,2016
177,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,56.96,POIN,2016
178,32,JAWA BARAT,3271,KOTA BOGOR,70.41,POIN,2016
179,32,JAWA BARAT,3272,KOTA SUKABUMI,68.1,POIN,2016
180,32,JAWA BARAT,3273,KOTA BANDUNG,73.85,POIN,2016
181,32,JAWA BARAT,3274,KOTA CIREBON,69.21,POIN,2016
182,32,JAWA BARAT,3275,KOTA BEKASI,73.35,POIN,2016
183,32,JAWA BARAT,3276,KOTA DEPOK,74.37,POIN,2016
184,32,JAWA BARAT,3277,KOTA CIMAHI,74.49,POIN,2016
185,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65.99,POIN,2016
186,32,JAWA BARAT,3279,KOTA BANJAR,63.91,POIN,2016
187,32,JAWA BARAT,3201,KABUPATEN BOGOR,60.66,POIN,2017
188,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,56.49,POIN,2017
189,32,JAWA BARAT,3203,KABUPATEN CIANJUR,56.09,POIN,2017
190,32,JAWA BARAT,3204,KABUPATEN BANDUNG,62.89,POIN,2017
191,32,JAWA BARAT,3205,KABUPATEN GARUT,56.85,POIN,2017
192,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,58.37,POIN,2017
193,32,JAWA BARAT,3207,KABUPATEN CIAMIS,63.24,POIN,2017
194,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,58.0,POIN,2017
195,32,JAWA BARAT,3209,KABUPATEN CIREBON,55.95,POIN,2017
196,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,56.83,POIN,2017
197,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,62.52,POIN,2017
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,53.82,POIN,2017
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,55.18,POIN,2017
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,58.83,POIN,2017
201,32,JAWA BARAT,3215,KABUPATEN KARAWANG,57.69,POIN,2017
202,32,JAWA BARAT,3216,KABUPATEN BEKASI,64.48,POIN,2017
203,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,58.55,POIN,2017
204,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,57.98,POIN,2017
205,32,JAWA BARAT,3271,KOTA BOGOR,71.44,POIN,2017
206,32,JAWA BARAT,3272,KOTA SUKABUMI,68.93,POIN,2017
207,32,JAWA BARAT,3273,KOTA BANDUNG,73.91,POIN,2017
208,32,JAWA BARAT,3274,KOTA CIREBON,69.27,POIN,2017
209,32,JAWA BARAT,3275,KOTA BEKASI,73.96,POIN,2017
210,32,JAWA BARAT,3276,KOTA DEPOK,74.66,POIN,2017
211,32,JAWA BARAT,3277,KOTA CIMAHI,74.66,POIN,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,67.35,POIN,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,65.27,POIN,2017
214,32,JAWA BARAT,3201,KABUPATEN BOGOR,60.82,POIN,2018
215,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,56.56,POIN,2018
216,32,JAWA BARAT,3203,KABUPATEN CIANJUR,56.16,POIN,2018
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,63.71,POIN,2018
218,32,JAWA BARAT,3205,KABUPATEN GARUT,57.78,POIN,2018
219,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,58.43,POIN,2018
220,32,JAWA BARAT,3207,KABUPATEN CIAMIS,63.31,POIN,2018
221,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,58.06,POIN,2018
222,32,JAWA BARAT,3209,KABUPATEN CIREBON,56.01,POIN,2018
223,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,56.89,POIN,2018
224,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,63.18,POIN,2018
225,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,53.88,POIN,2018
226,32,JAWA BARAT,3213,KABUPATEN SUBANG,55.24,POIN,2018
227,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,59.42,POIN,2018
228,32,JAWA BARAT,3215,KABUPATEN KARAWANG,58.03,POIN,2018
229,32,JAWA BARAT,3216,KABUPATEN BEKASI,65.72,POIN,2018
230,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,59.43,POIN,2018
231,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,58.71,POIN,2018
232,32,JAWA BARAT,3271,KOTA BOGOR,71.5,POIN,2018
233,32,JAWA BARAT,3272,KOTA SUKABUMI,68.99,POIN,2018
234,32,JAWA BARAT,3273,KOTA BANDUNG,74.82,POIN,2018
235,32,JAWA BARAT,3274,KOTA CIREBON,69.33,POIN,2018
236,32,JAWA BARAT,3275,KOTA BEKASI,75.19,POIN,2018
237,32,JAWA BARAT,3276,KOTA DEPOK,74.78,POIN,2018
238,32,JAWA BARAT,3277,KOTA CIMAHI,74.72,POIN,2018
239,32,JAWA BARAT,3278,KOTA TASIKMALAYA,67.41,POIN,2018
240,32,JAWA BARAT,3279,KOTA BANJAR,65.33,POIN,2018
241,32,JAWA BARAT,3201,KABUPATEN BOGOR,62.27,POIN,2019
242,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57.34,POIN,2019
243,32,JAWA BARAT,3203,KABUPATEN CIANJUR,56.51,POIN,2019
244,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64.52,POIN,2019
245,32,JAWA BARAT,3205,KABUPATEN GARUT,57.87,POIN,2019
246,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,58.68,POIN,2019
247,32,JAWA BARAT,3207,KABUPATEN CIAMIS,63.94,POIN,2019
248,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,58.21,POIN,2019
249,32,JAWA BARAT,3209,KABUPATEN CIREBON,56.37,POIN,2019
250,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,57.55,POIN,2019
251,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,63.57,POIN,2019
252,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,53.97,POIN,2019
253,32,JAWA BARAT,3213,KABUPATEN SUBANG,55.31,POIN,2019
254,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,60.01,POIN,2019
255,32,JAWA BARAT,3215,KABUPATEN KARAWANG,59.06,POIN,2019
