id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_odtw,jumlah_odtw,satuan,tahun
192,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINAT KHUSUS,5,LOKASI,2016
193,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ALAM,1,LOKASI,2016
194,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUDAYA,0,LOKASI,2016
195,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MINAT KHUSUS,0,LOKASI,2016
196,32,JAWA BARAT,3213,KABUPATEN SUBANG,ALAM,27,LOKASI,2016
197,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUDAYA,9,LOKASI,2016
198,32,JAWA BARAT,3213,KABUPATEN SUBANG,MINAT KHUSUS,23,LOKASI,2016
199,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ALAM,9,LOKASI,2016
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BUDAYA,8,LOKASI,2016
201,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINAT KHUSUS,9,LOKASI,2016
202,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ALAM,12,LOKASI,2016
203,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BUDAYA,9,LOKASI,2016
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MINAT KHUSUS,3,LOKASI,2016
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,ALAM,4,LOKASI,2016
206,32,JAWA BARAT,3216,KABUPATEN BEKASI,BUDAYA,3,LOKASI,2016
207,32,JAWA BARAT,3216,KABUPATEN BEKASI,MINAT KHUSUS,3,LOKASI,2016
208,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ALAM,26,LOKASI,2016
209,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BUDAYA,10,LOKASI,2016
210,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINAT KHUSUS,3,LOKASI,2016
211,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ALAM,11,LOKASI,2016
212,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BUDAYA,5,LOKASI,2016
213,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MINAT KHUSUS,14,LOKASI,2016
214,32,JAWA BARAT,3271,KOTA BOGOR,ALAM,5,LOKASI,2016
215,32,JAWA BARAT,3271,KOTA BOGOR,BUDAYA,8,LOKASI,2016
216,32,JAWA BARAT,3271,KOTA BOGOR,MINAT KHUSUS,9,LOKASI,2016
217,32,JAWA BARAT,3272,KOTA SUKABUMI,ALAM,2,LOKASI,2016
